id,genre
106938,Family
106938,Fantasy
10693,Adventure
10693,Animation
10693,Family
10693,Fantasy
10693,Music
106,Action
106,Adventure
106,Science Fiction
106,Thriller
10707,Comedy
10707,Drama
10707,Indie
10708,Comedy
10708,Family
10710,Comedy
10711,Action
10711,Crime
10711,Drama
10711,Thriller
10712,Drama
10712,Romance
10715,Animation
10715,Comedy
10715,Family
107170,Action
107170,Science Fiction
107170,Short
107170,Thriller
107170,War
10718,Action
10718,Thriller
10719,Comedy
10719,Family
10719,Fantasy
10719,Holiday
10720,Action
10720,Comedy
10720,Romance
10720,Thriller
10722,Comedy
10722,Horror
10723,Action
10723,Adventure
10723,Comedy
10723,Thriller
10724,Action
10724,Adventure
10724,Drama
10724,Suspense
10724,Thriller
10726,Horror
10726,Thriller
10727,Horror
10730,Action
10730,Adventure
10730,Drama
10730,Horror
10730,Science Fiction
10731,Crime
10731,Drama
10731,Mystery
10731,Thriller
10733,War
10734,Crime
10734,Drama
10734,History
10735,Comedy
10735,Drama
10735,Family
10735,Romance
10739,Comedy
10739,Romance
1073,Drama
1073,Mystery
1073,Suspense
1073,Thriller
10740,Drama
10740,Indie
10740,Mystery
10740,Thriller
10741,Drama
10743,Action
10743,Comedy
10743,Crime
10743,Thriller
10747,War
10747,Western
10748,Comedy
10748,Family
10748,Musical
10748,Science Fiction
10750,Action
10750,Adventure
10750,Thriller
10753,Action
10753,Comedy
10753,Crime
10753,Thriller
10756,Comedy
10756,Family
10756,Fantasy
10756,Science Fiction
10757,Comedy
10757,Drama
10758,Comedy
10759,Comedy
10759,Sports Film
1075,Comedy
1075,Foreign
1075,Music
1075,Romance
10760,Comedy
10760,Family
10761,Comedy
10761,Romance
10762,Action
10762,Adventure
10762,Comedy
10762,Thriller
10764,Action
10764,Adventure
10764,Crime
10764,Thriller
10765,Comedy
10766,Action
10766,Drama
10766,Horror
10766,Thriller
10768,Drama
10768,Horror
10768,Thriller
10771,Action
10771,Comedy
10771,Science Fiction
10771,Thriller
10772,Action
10772,Western
10774,Drama
10775,Action
10775,Crime
10775,Drama
10775,Mystery
10775,Thriller
10776,Comedy
10776,Horror
10776,Music
10778,Crime
10778,Drama
10779,Comedy
10779,Horror
10779,Mystery
10780,Comedy
10780,Romance
107811,Comedy
10781,Horror
10782,Action
10782,Crime
10782,Drama
10782,Mystery
10782,Thriller
10783,Action
10783,Adventure
10783,Comedy
10783,Crime
10783,Romance
10783,Thriller
107846,Action
107846,Thriller
10784,Drama
10784,Music
10784,Romance
10785,Horror
10785,Science Fiction
10794,Comedy
10795,Crime
10795,Drama
10795,Mystery
10795,Thriller
10796,Action
10796,Science Fiction
10796,Thriller
107985,Action
107985,Comedy
107985,Science Fiction
10798,Adventure
107,Crime
107,Thriller
10800,Animation
10800,Family
10802,Drama
10803,Science Fiction
10804,Comedy
10804,Family
10806,Comedy
10806,Romance
10808,Comedy
10808,Family
10808,Fantasy
10808,Romance
10823,Drama
10823,Fantasy
10823,Horror
10823,Thriller
10829,Action
10829,Comedy
10829,Horror
10829,Science Fiction
10829,Thriller
10830,Adventure
10830,Comedy
10830,Family
10830,Fantasy
10832,Horror
10832,Suspense
10833,Comedy
10833,Drama
10835,Action
10835,Crime
10835,Drama
10835,Eastern
10835,Foreign
10835,Thriller
10837,Adventure
10837,Animation
10837,Comedy
10837,Family
10837,Fantasy
10843,Comedy
10843,Drama
10843,Thriller
10846,Comedy
10846,Drama
10846,Romance
10847,Adventure
10847,Drama
10847,Thriller
10849,Comedy
10849,Fantasy
10849,Romance
10851,Crime
10851,Drama
10851,Mystery
10851,Thriller
10854,Horror
10855,Action
10855,Drama
10855,Thriller
10858,Drama
10859,Action
10859,Comedy
10859,Romance
10860,Drama
10860,Romance
10861,Action
