id,title,avgvote,releaseyear,tagline
10330,Freaky Friday,5.700000,2003,Mondays are manic. Wednesdays are wild. And Fridays are about to get a little freaky.
10331,Night of the Living Dead,7.100000,1968,"If it doesn't scare you, you're already dead!"
103328,Holy Motors,6.600000,2012,"From dawn to dusk, a few hours in the shadowy life of a mystic man named Monsieur Oscar."
103332,Ruby Sparks,6.900000,2012,She's Out Of His Mind
10336,Spawn,5.200000,1997,Born in darkness. Sworn to justice.
103370,Madea's Witness Protection,5.900000,2012,"Believe it or not, they know too much."
10337,Bugsy,6.800000,1991,
10339,Moby Dick,7.600000,1956,"From the immortal adventure classic...of whaling men, their ships, and the sea!"
10340,Lady and the Tramp,6.300000,1955,She's from the leash and license set... he's footloose and collar free!
10342,Teaching Mrs. Tingle,5.900000,1999,"This summer, the teacher from hell is about to get taught a lesson."
10344,The Fly II,6.400000,1989,Like Father Like Son
10345,K-9,5.700000,1989,Meet the two toughest cops in town.  One's just a little smarter than the other!
10347,Dobermann,7.600000,1997,
10348,Thunderbolt,5.900000,1995,The stakes don't come much higher
10351,Wishmaster,6.600000,1997,Be careful what you wish for.
10353,The Visitors II: The Corridors of Time,5.800000,1998,
10357,Volcano,4.800000,1997,The coast is toast
10358,Zack and Miri Make a Porno,5.900000,2008,What would you do to get out of debt?
10360,Hunger,7.500000,2008,
103620,Maniac,5.800000,2012,I Warned You Not to Go Out Tonight.
10362,Two Lovers,6.800000,2008,
103663,The Hunt,7.900000,2012,The lie is spreading.
10366,Universal Soldier: The Return,5.400000,1999,Prepare to become obsolete
103686,Paradise: Love,6.500000,2012,
10372,Ewoks: The Battle for Endor,5.900000,1985,
103731,Mud,6.600000,2012,People just sometimes forget why they fell in love in the first place.
103740,Beyond the Hills,6.500000,2012,
103747,The Angels' Share,7.000000,2012,Four Friends. One Mission. Lots of Spirit.
10375,D-Tox,6.500000,2002,Survival is a Killer.
10376,The Legend of 1900,7.800000,1998,A beatiful story of a man who could do anything... except be ordinary.
10377,My Cousin Vinny,7.100000,1992,"Truth, Justice and the Gambini Way"
10379,Drop Dead Fred,6.600000,1991,Dishes. Relationships. Wind. This guy breaks everything.
10380,An American Tail: Fievel Goes West,6.400000,1991,"Look out pardners, there's a new mouse in town!"
10386,The Iron Giant,7.100000,1999,It came from outer space!
10389,The Eye,6.500000,2002,How can you believe your eyes when they're not yours?
10390,For Love of the Game,6.600000,1999,Billy Chapel must choose between the woman he loves and the game he lives for.
10393,The Replacements,5.800000,2000,Throw the ball. Catch the girl. Keep it simple.
10395,Wolf,6.300000,1994,The animal is out.
10396,Tequila Sunrise,5.600000,1988,A dangerous mix
10398,Double Jeopardy,5.900000,1999,Murder isn't always a crime.
10399,Mansfield Park,6.500000,1999,
103,Taxi Driver,7.200000,1976,"On every street in every city, there's a nobody who dreams of being a somebody."
10400,The Hurricane,7.600000,1999,
10402,Deuce Bigalow: Male Gigolo,5.900000,1999,He charges $10 but he’s willing to negotiate.
10403,The Player,6.900000,1992,Everything you've heard is true!
10404,Raise the Red Lantern,8.300000,1991,
10406,Encino Man,6.100000,1992,When the stone age meets the rock age.
10407,Housesitter,6.900000,1992,She's turning his house into a home...hers!
10409,Strictly Ballroom,5.800000,1992,A life lived in fear... ...is a life half lived
10412,Romper Stomper,6.700000,1992,Give Him Smack In Head Special ...
10413,Nowhere to Run,6.000000,1993,"When the law can't protect the innocent,  the only hero left is an outlaw."
10414,The Mighty Ducks,7.200000,1992,They Can't Skate. They Can't Win. They Can't Be Serious.
104155,Mansome,4.200000,2012,
10423,Dragon: The Bruce Lee Story,7.400000,1993,The Mystery. The Life. The Love. The Legend
10425,The Death and Life of Bobby Z,5.800000,2007,
10426,Friday After Next,7.700000,2002,The party's back in the 'hood!
10428,Hackers,6.600000,1995,"There is no right or wrong, only fun and boring"
